raceId,driverId,stop,lap,duration,duration_s
841,153,1,1,26.898,0 days 00:00:26.898000
841,30,1,1,25.021,0 days 00:00:25.021000
841,17,1,11,23.426,0 days 00:00:23.426000
841,4,1,12,23.251,0 days 00:00:23.251000
841,13,1,13,23.842,0 days 00:00:23.842000
841,22,1,13,23.643,0 days 00:00:23.643000
841,20,1,14,22.603,0 days 00:00:22.603000
841,814,1,14,24.863,0 days 00:00:24.863000
841,816,1,14,25.259,0 days 00:00:25.259000
841,67,1,15,25.342,0 days 00:00:25.342000
841,2,1,15,22.994,0 days 00:00:22.994000
841,1,1,16,23.227,0 days 00:00:23.227000
841,808,1,16,24.535,0 days 00:00:24.535000
841,3,1,16,23.716,0 days 00:00:23.716000
841,155,1,16,24.064,0 days 00:00:24.064000
841,16,1,16,25.978,0 days 00:00:25.978000
841,15,1,16,24.899,0 days 00:00:24.899000
841,18,1,17,16.867,0 days 00:00:16.867000
841,153,2,17,24.463,0 days 00:00:24.463000
841,5,1,17,24.865,0 days 00:00:24.865000
841,30,2,17,23.988,0 days 00:00:23.988000
841,10,1,18,23.792,0 days 00:00:23.792000
841,18,2,19,23.303,0 days 00:00:23.303000
841,815,1,23,23.438,0 days 00:00:23.438000
841,22,2,23,37.856,0 days 00:00:37.856000
841,17,2,26,22.52,0 days 00:00:22.520000
841,4,2,27,24.733,0 days 00:00:24.733000
841,22,3,28,16.892,0 days 00:00:16.892000
841,67,2,29,23.1,0 days 00:00:23.100000
841,2,2,30,25.098,0 days 00:00:25.098000
841,13,2,31,24.5,0 days 00:00:24.500000
841,155,2,32,24.192,0 days 00:00:24.192000
841,20,2,36,24.036,0 days 00:00:24.036000
841,1,2,36,23.199,0 days 00:00:23.199000
841,153,3,35,26.348,0 days 00:00:26.348000
841,808,2,36,25.683,0 days 00:00:25.683000
841,814,2,36,24.332,0 days 00:00:24.332000
841,18,3,37,22.681,0 days 00:00:22.681000
841,16,2,37,23.871,0 days 00:00:23.871000
841,15,2,37,24.848,0 days 00:00:24.848000
841,816,2,38,26.446,0 days 00:00:26.446000
841,17,3,41,26.23,0 days 00:00:26.230000
841,22,4,40,26.309,0 days 00:00:26.309000
841,4,3,42,24.181,0 days 00:00:24.181000
841,13,3,48,24.095,0 days 00:00:24.095000
842,16,1,3,31.694,0 days 00:00:31.694000
842,22,1,3,32.978,0 days 00:00:32.978000
842,17,1,10,22.572,0 days 00:00:22.572000
842,814,1,11,22.773,0 days 00:00:22.773000
842,1,1,12,22.552,0 days 00:00:22.552000
842,20,1,13,23.019,0 days 00:00:23.019000
842,2,1,13,23.9,0 days 00:00:23.900000
842,18,1,13,22.4,0 days 00:00:22.400000
842,13,1,13,29.224,0 days 00:00:29.224000
842,15,1,13,25.516,0 days 00:00:25.516000
842,4,1,14,23.152,0 days 00:00:23.152000
842,30,1,14,22.576,0 days 00:00:22.576000
842,808,1,15,23.182,0 days 00:00:23.182000
842,67,1,15,23.28,0 days 00:00:23.280000
842,3,1,15,24.967,0 days 00:00:24.967000
842,5,1,15,29.084,0 days 00:00:29.084000
842,153,1,16,23.584,0 days 00:00:23.584000
842,16,2,16,22.046,0 days 00:00:22.046000
842,155,1,17,23.28,0 days 00:00:23.280000
842,815,1,17,23.597,0 days 00:00:23.597000
842,10,1,17,24.617,0 days 00:00:24.617000
842,816,1,17,26.252,0 days 00:00:26.252000
842,24,1,17,27.815,0 days 00:00:27.815000
