raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,fastestLapTime_td
18,1,1,22,1,1,1,10.0,58,39,2,1:27.452,218.300,1,0 days 00:01:27.452000
18,2,2,3,5,2,2,8.0,58,41,3,1:27.739,217.586,1,0 days 00:01:27.739000
18,3,3,7,7,3,3,6.0,58,41,5,1:28.090,216.719,1,0 days 00:01:28.090000
18,4,4,5,11,4,4,5.0,58,58,7,1:28.603,215.464,1,0 days 00:01:28.603000
18,5,1,23,3,5,5,4.0,58,43,1,1:27.418,218.385,1,0 days 00:01:27.418000
18,6,3,8,13,6,6,3.0,57,50,14,1:29.639,212.974,11,0 days 00:01:29.639000
18,7,5,14,17,7,7,2.0,55,54,8,1:29.534,213.224,5,0 days 00:01:29.534000
18,8,6,1,15,8,8,1.0,53,20,4,1:27.903,217.180,5,0 days 00:01:27.903000
18,9,2,4,2,,9,0.0,47,15,9,1:28.753,215.100,4,0 days 00:01:28.753000
18,10,7,12,18,,10,0.0,43,23,13,1:29.558,213.166,3,0 days 00:01:29.558000
18,11,8,18,19,,11,0.0,32,24,15,1:30.892,210.038,7,0 days 00:01:30.892000
18,12,4,6,20,,12,0.0,30,20,16,1:31.384,208.907,8,0 days 00:01:31.384000
18,13,6,2,4,,13,0.0,29,23,6,1:28.175,216.510,5,0 days 00:01:28.175000
18,14,9,9,8,,14,0.0,25,21,11,1:29.502,213.300,4,0 days 00:01:29.502000
18,15,7,11,6,,15,0.0,19,18,10,1:29.310,213.758,10,0 days 00:01:29.310000
18,16,10,20,22,,16,0.0,8,8,17,1:32.021,207.461,9,0 days 00:01:32.021000
18,17,9,10,14,,17,0.0,0,,,,,4,
18,18,11,16,12,,18,0.0,0,,,,,4,
18,19,8,19,21,,19,0.0,0,,,,,4,
18,20,5,15,9,,20,0.0,0,,,,,4,
18,21,10,21,16,,21,0.0,0,,,,,4,
18,22,11,17,10,,22,0.0,58,44,8,1:28.736,215.141,2,0 days 00:01:28.736000
19,8,6,1,2,1,1,10.0,56,37,2,1:35.405,209.158,1,0 days 00:01:35.405000
19,9,2,4,4,2,2,8.0,56,39,6,1:35.921,208.033,1,0 days 00:01:35.921000
19,5,1,23,8,3,3,6.0,56,19,7,1:35.922,208.031,1,0 days 00:01:35.922000
19,15,7,11,3,4,4,5.0,56,53,8,1:36.068,207.715,1,0 days 00:01:36.068000
19,1,1,22,9,5,5,4.0,56,53,3,1:35.462,209.033,1,0 days 00:01:35.462000
19,2,2,3,5,6,6,3.0,56,55,1,1:35.366,209.244,1,0 days 00:01:35.366000
19,17,9,10,6,7,7,2.0,56,53,12,1:36.696,206.366,1,0 days 00:01:36.696000
19,4,4,5,7,8,8,1.0,56,40,10,1:36.288,207.240,1,0 days 00:01:36.288000
19,14,9,9,12,9,9,0.0,56,55,9,1:36.206,207.417,1,0 days 00:01:36.206000
19,18,11,16,11,10,10,0.0,56,56,4,1:35.715,208.481,1,0 days 00:01:35.715000
19,12,4,6,13,11,11,0.0,56,52,15,1:36.956,205.812,1,0 days 00:01:36.956000
19,21,10,21,17,12,12,0.0,55,52,16,1:36.962,205.800,11,0 days 00:01:36.962000
19,22,11,17,14,13,13,0.0,55,55,11,1:36.693,206.372,11,0 days 00:01:36.693000
19,3,3,7,16,14,14,0.0,55,55,13,1:36.782,206.182,11,0 days 00:01:36.782000
19,19,8,19,21,15,15,0.0,55,55,18,1:38.171,203.265,11,0 days 00:01:38.171000
19,11,8,18,19,16,16,0.0,54,53,19,1:38.504,202.578,12,0 days 00:01:38.504000
19,6,3,8,22,17,17,0.0,54,19,17,1:37.711,204.222,12,0 days 00:01:37.711000
19,20,5,15,15,,18,0.0,39,37,14,1:36.870,205.995,5,0 days 00:01:36.870000
19,13,6,2,1,,19,0.0,30,15,5,1:35.914,208.048,20,0 days 00:01:35.914000
19,16,10,20,20,,20,0.0,5,3,20,1:40.330,198.891,9,0 days 00:01:40.330000
19,10,7,12,10,,21,0.0,1,,,,,4,
19,7,5,14,18,,22,0.0,0,,,,,20,
20,13,6,2,2,1,1,10.0,57,38,3,1:33.600,208.153,1,0 days 00:01:33.600000
20,8,6,1,4,2,2,8.0,57,35,4,1:33.709,207.911,1,0 days 00:01:33.709000
20,9,2,4,1,3,3,6.0,57,55,5,1:33.775,207.765,1,0 days 00:01:33.775000
20,2,2,3,6,4,4,5.0,57,48,2,1:33.565,208.231,1,0 days 00:01:33.565000
20,5,1,23,5,5,5,4.0,57,49,1,1:33.193,209.062,1,0 days 00:01:33.193000
20,15,7,11,7,6,6,3.0,57,45,7,1:34.204,206.819,1,0 days 00:01:34.204000
20,17,9,10,11,7,7,2.0,57,51,8,1:34.305,206.597,1,0 days 00:01:34.305000
20,3,3,7,8,8,8,1.0,57,57,6,1:34.072,207.109,1,0 days 00:01:34.072000
20,10,7,12,13,9,9,0.0,57,56,9,1:34.807,205.503,1,0 days 00:01:34.807000
20,4,4,5,10,10,10,0.0,57,35,13,1:35.194,204.668,1,0 days 00:01:35.194000
20,22,11,17,12,11,11,0.0,57,40,10,1:34.855,205.399,1,0 days 00:01:34.855000
20,21,10,21,18,12,12,0.0,56,56,11,1:35.057,204.963,11,0 days 00:01:35.057000
20,1,1,22,3,13,13,0.0,56,25,19,1:35.520,203.969,11,0 days 00:01:35.520000
20,6,3,8,16,14,14,0.0,56,30,17,1:35.433,204.155,11,0 days 00:01:35.433000
20,7,5,14,15,15,15,0.0,56,33,15,1:35.333,204.369,11,0 days 00:01:35.333000
20,19,8,19,21,16,16,0.0,56,45,14,1:35.324,204.389,11,0 days 00:01:35.324000
20,11,8,18,22,17,17,0.0,56,56,20,1:35.891,203.180,11,0 days 00:01:35.891000
20,14,9,9,17,18,18,0.0,56,43,16,1:35.351,204.331,11,0 days 00:01:35.351000
20,16,10,20,20,19,19,0.0,56,55,18,1:35.442,204.136,12,0 days 00:01:35.442000
20,12,4,6,14,,20,0.0,40,31,12,1:35.129,204.808,6,0 days 00:01:35.129000
20,18,11,16,9,,21,0.0,19,11,21,1:36.125,202.686,4,0 days 00:01:36.125000
20,20,5,15,19,,22,0.0,0,,,,,5,
21,8,6,1,1,1,1,10.0,66,46,1,1:21.670,205.191,1,0 days 00:01:21.670000
21,13,6,2,3,2,2,8.0,66,45,2,1:21.801,204.863,1,0 days 00:01:21.801000
21,1,1,22,5,3,3,6.0,66,20,3,1:22.017,204.323,1,0 days 00:01:22.017000
21,9,2,4,4,4,4,5.0,66,20,4,1:22.106,204.102,1,0 days 00:01:22.106000
21,17,9,10,7,5,5,4.0,66,19,8,1:22.564,202.969,1,0 days 00:01:22.564000
21,18,11,16,13,6,6,3.0,66,66,5,1:22.353,203.489,1,0 days 00:01:22.353000
21,6,3,8,12,7,7,2.0,66,48,15,1:23.549,200.576,1,0 days 00:01:23.549000
21,15,7,11,8,8,8,1.0,66,45,10,1:22.758,202.494,1,0 days 00:01:22.758000
21,2,2,3,9,9,9,0.0,66,21,7,1:22.519,203.080,1,0 days 00:01:22.519000
21,21,10,21,19,10,10,0.0,65,40,14,1:23.439,200.841,11,0 days 00:01:23.439000
21,10,7,12,14,11,11,0.0,65,57,12,1:23.007,201.886,11,0 days 00:01:23.007000
21,14,9,9,17,12,12,0.0,65,57,11,1:22.842,202.288,11,0 days 00:01:22.842000
21,11,8,18,22,13,13,0.0,65,34,17,1:24.617,198.045,11,0 days 00:01:24.617000
21,3,3,7,15,,14,0.0,41,20,13,1:23.319,201.130,5,0 days 00:01:23.319000
21,4,4,5,2,,15,0.0,34,15,9,1:22.683,202.677,5,0 days 00:01:22.683000
21,22,11,17,11,,16,0.0,34,21,16,1:23.858,199.837,4,0 days 00:01:23.858000
21,5,1,23,6,,17,0.0,21,19,6,1:22.453,203.243,3,0 days 00:01:22.453000
21,19,8,19,21,,18,0.0,8,6,20,1:26.864,192.922,21,0 days 00:01:26.864000
21,7,5,14,16,,19,0.0,7,6,19,1:25.999,194.862,4,0 days 00:01:25.999000
21,12,4,6,10,,20,0.0,6,6,18,1:25.444,196.128,4,0 days 00:01:25.444000
21,16,10,20,20,,21,0.0,0,,,,,4,
21,20,5,15,18,,22,0.0,0,,,,,4,
22,13,6,2,1,1,1,10.0,58,16,3,1:26.666,221.734,1,0 days 00:01:26.666000
22,1,1,22,3,2,2,8.0,58,31,2,1:26.529,222.085,1,0 days 00:01:26.529000
22,8,6,1,4,3,3,6.0,58,20,1,1:26.506,222.144,1,0 days 00:01:26.506000
22,9,2,4,5,4,4,5.0,58,17,4,1:26.780,221.442,1,0 days 00:01:26.780000
22,2,2,3,9,5,5,4.0,58,20,5,1:27.219,220.328,1,0 days 00:01:27.219000
22,4,4,5,7,6,6,3.0,58,57,6,1:27.280,220.174,1,0 days 00:01:27.280000
22,17,9,10,6,7,7,2.0,58,14,7,1:27.630,219.294,1,0 days 00:01:27.630000
22,3,3,7,11,8,8,1.0,58,55,9,1:27.795,218.882,1,0 days 00:01:27.795000
22,14,9,9,10,9,9,0.0,58,41,12,1:27.966,218.457,1,0 days 00:01:27.966000
22,15,7,11,8,10,10,0.0,58,52,11,1:27.926,218.556,1,0 days 00:01:27.926000
22,18,11,16,13,11,11,0.0,57,57,13,1:27.998,218.377,11,0 days 00:01:27.998000
22,5,1,23,2,12,12,0.0,57,55,8,1:27.640,219.269,11,0 days 00:01:27.640000
22,10,7,12,15,13,13,0.0,57,28,16,1:28.303,217.623,11,0 days 00:01:28.303000
22,22,11,17,12,14,14,0.0,57,56,14,1:28.017,218.330,11,0 days 00:01:28.017000
22,12,4,6,17,15,15,0.0,57,40,10,1:27.867,218.703,11,0 days 00:01:27.867000
