raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,fastestLap,fastestLapTime,statusId,fastestLapTime_td
1061,830,9,33,2,1,1,1,3,17,14,1:30.013,1,0 days 00:01:30.013000
1061,1,131,44,1,2,2,2,2,17,17,1:29.937,1,0 days 00:01:29.937000
1061,822,131,77,3,3,3,3,1,17,17,1:29.958,1,0 days 00:01:29.958000
1061,844,6,16,4,4,4,4,0,17,16,1:30.163,1,0 days 00:01:30.163000
1061,846,1,4,6,5,5,5,0,17,16,1:30.566,1,0 days 00:01:30.566000
1061,817,1,3,7,6,6,6,0,17,17,1:30.640,1,0 days 00:01:30.640000
1061,4,214,14,11,7,7,7,0,17,17,1:31.773,1,0 days 00:01:31.773000
1061,20,117,5,10,8,8,8,0,17,17,1:31.687,1,0 days 00:01:31.687000
1061,847,3,63,8,9,9,9,0,17,17,1:32.208,1,0 days 00:01:32.208000
1061,839,214,31,13,10,10,10,0,17,16,1:32.183,1,0 days 00:01:32.183000
1061,832,6,55,9,11,11,11,0,17,10,1:31.991,1,0 days 00:01:31.991000
1061,842,213,10,12,12,12,12,0,17,17,1:32.072,1,0 days 00:01:32.072000
1061,8,51,7,17,13,13,13,0,17,12,1:32.139,1,0 days 00:01:32.139000
1061,840,117,18,15,14,14,14,0,17,12,1:32.210,1,0 days 00:01:32.210000
1061,841,51,99,14,15,15,15,0,17,14,1:32.457,1,0 days 00:01:32.457000
1061,852,213,22,16,16,16,16,0,17,14,1:32.270,1,0 days 00:01:32.270000
1061,849,3,6,18,17,17,17,0,17,17,1:32.143,1,0 days 00:01:32.143000
1061,854,210,47,19,18,18,18,0,17,15,1:32.567,1,0 days 00:01:32.567000
1061,853,210,9,20,19,19,19,0,17,3,1:33.462,1,0 days 00:01:33.462000
1061,815,9,11,5,,R,20,0,16,6,1:31.465,76,0 days 00:01:31.465000
1065,822,131,77,1,1,1,1,3,18,9,1:23.540,1,0 days 00:01:23.540000
1065,830,9,33,3,2,2,2,2,18,9,1:23.502,1,0 days 00:01:23.502000
1065,817,1,3,5,3,3,3,1,18,17,1:24.291,1,0 days 00:01:24.291000
1065,846,1,4,4,4,4,4,0,18,9,1:24.554,1,0 days 00:01:24.554000
1065,1,131,44,2,5,5,5,0,18,9,1:24.253,1,0 days 00:01:24.253000
1065,844,6,16,8,6,6,6,0,18,18,1:24.677,1,0 days 00:01:24.677000
1065,832,6,55,7,7,7,7,0,18,8,1:24.918,1,0 days 00:01:24.918000
1065,841,51,99,10,8,8,8,0,18,10,1:25.126,1,0 days 00:01:25.126000
1065,815,9,11,9,9,9,9,0,18,12,1:24.211,1,0 days 00:01:24.211000
1065,840,117,18,12,10,10,10,0,18,8,1:25.349,1,0 days 00:01:25.349000
1065,4,214,14,13,11,11,11,0,18,8,1:25.225,1,0 days 00:01:25.225000
1065,20,117,5,11,12,12,12,0,18,8,1:25.493,1,0 days 00:01:25.493000
1065,839,214,31,14,13,13,13,0,18,8,1:25.613,1,0 days 00:01:25.613000
1065,849,3,6,16,14,14,14,0,18,9,1:25.711,1,0 days 00:01:25.711000
1065,847,3,63,15,15,15,15,0,18,15,1:25.835,1,0 days 00:01:25.835000
1065,852,213,22,17,16,16,16,0,18,18,1:25.847,1,0 days 00:01:25.847000
1065,853,210,9,20,17,17,17,0,18,7,1:26.613,1,0 days 00:01:26.613000
1065,9,51,88,19,18,18,18,0,18,12,1:26.772,1,0 days 00:01:26.772000
1065,854,210,47,18,19,19,19,0,18,7,1:26.819,1,0 days 00:01:26.819000
1065,842,213,10,6,,R,20,0,0,,,3,
1071,822,131,77,2,1,1,1,3,24,8,1:12.300,1,0 days 00:01:12.300000
1071,830,9,33,1,2,2,2,2,24,9,1:12.114,1,0 days 00:01:12.114000
1071,832,6,55,5,3,3,3,1,24,13,1:13.167,1,0 days 00:01:13.167000
1071,815,9,11,3,4,4,4,0,24,13,1:13.110,1,0 days 00:01:13.110000
1071,1,131,44,20,5,5,5,0,24,5,1:12.357,1,0 days 00:01:12.357000
1071,846,1,4,7,6,6,6,0,24,8,1:12.994,1,0 days 00:01:12.994000
1071,844,6,16,6,7,7,7,0,24,4,1:13.140,1,0 days 00:01:13.140000
1071,842,213,10,4,8,8,8,0,24,4,1:13.342,1,0 days 00:01:13.342000
1071,839,214,31,10,9,9,9,0,24,11,1:13.615,1,0 days 00:01:13.615000
1071,20,117,5,11,10,10,10,0,24,5,1:13.558,1,0 days 00:01:13.558000
1071,817,1,3,8,11,11,11,0,24,9,1:13.463,1,0 days 00:01:13.463000
1071,4,214,14,9,12,12,12,0,24,4,1:13.397,1,0 days 00:01:13.397000
1071,841,51,99,14,13,13,13,0,24,11,1:13.627,1,0 days 00:01:13.627000
1071,840,117,18,15,14,14,14,0,24,9,1:13.666,1,0 days 00:01:13.666000
1071,852,213,22,12,15,15,15,0,24,11,1:13.747,1,0 days 00:01:13.747000
1071,849,3,6,16,16,16,16,0,24,7,1:13.934,1,0 days 00:01:13.934000
1071,847,3,63,17,17,17,17,0,24,14,1:14.056,1,0 days 00:01:14.056000
1071,8,51,7,13,18,18,18,0,24,9,1:13.900,1,0 days 00:01:13.900000
1071,854,210,47,18,19,19,19,0,24,9,1:14.387,1,0 days 00:01:14.387000
1071,853,210,9,19,20,20,20,0,24,6,1:14.583,1,0 days 00:01:14.583000
1077,830,9,1,1,1,1,1,8,21,14,1:19.154,1,0 days 00:01:19.154000
1077,844,6,16,2,2,2,2,7,21,11,1:19.044,1,0 days 00:01:19.044000
1077,815,9,11,7,3,3,3,6,21,14,1:19.012,1,0 days 00:01:19.012000
1077,832,6,55,10,4,4,4,5,21,14,1:19.251,1,0 days 00:01:19.251000
1077,846,1,4,3,5,5,5,4,21,9,1:20.030,1,0 days 00:01:20.030000
1077,817,1,3,6,6,6,6,3,21,12,1:20.328,1,0 days 00:01:20.328000
