driverId,year,points
1,2007,109.0
1,2008,98.0
1,2009,49.0
1,2010,240.0
1,2011,227.0
1,2012,190.0
1,2013,189.0
1,2014,384.0
1,2015,381.0
1,2016,380.0
1,2017,363.0
1,2018,408.0
1,2019,413.0
1,2020,347.0
1,2021,385.5
1,2022,233.0
1,2023,217.0
1,2024,207.0
2,2000,0.0
2,2001,12.0
2,2002,7.0
2,2003,6.0
2,2004,3.0
2,2005,28.0
2,2006,23.0
2,2007,61.0
2,2008,60.0
2,2009,19.0
2,2010,6.0
2,2011,34.0
3,2006,4.0
3,2007,20.0
3,2008,17.0
3,2009,34.5
3,2010,142.0
3,2011,89.0
3,2012,93.0
3,2013,171.0
3,2014,317.0
3,2015,322.0
3,2016,385.0
4,2001,0.0
4,2003,55.0
4,2004,59.0
4,2005,133.0
4,2006,134.0
4,2007,109.0
4,2008,61.0
4,2009,26.0
4,2010,252.0
4,2011,257.0
4,2012,278.0
4,2013,242.0
4,2014,161.0
4,2015,11.0
4,2016,54.0
4,2017,17.0
4,2018,50.0
4,2021,81.0
4,2022,81.0
4,2023,198.0
4,2024,70.0
5,2007,30.0
5,2008,53.0
5,2009,22.0
5,2010,0.0
5,2011,0.0
5,2012,0.0
5,2013,0.0
6,2007,0.0
6,2008,9.0
6,2009,0.0
7,2008,4.0
7,2009,2.0
8,2001,9.0
8,2002,24.0
8,2003,91.0
8,2004,45.0
8,2005,112.0
8,2006,65.0
8,2007,110.0
8,2008,75.0
8,2009,48.0
8,2012,207.0
8,2013,183.0
8,2014,55.0
8,2015,150.0
8,2016,186.0
8,2017,205.0
8,2018,251.0
8,2019,43.0
8,2020,4.0
8,2021,10.0
9,2006,6.0
9,2007,39.0
9,2008,75.0
9,2009,17.0
9,2010,136.0
9,2019,1.0
9,2021,0.0
10,2004,2.0
10,2008,25.0
10,2009,24.0
10,2010,0.0
10,2011,0.0
10,2012,0.0
11,2002,2.0
11,2003,3.0
11,2004,34.0
11,2005,1.0
11,2006,0.0
11,2007,4.0
11,2008,0.0
12,2008,19.0
12,2009,0.0
13,2002,4.0
13,2004,12.0
13,2005,11.0
13,2006,80.0
13,2007,94.0
13,2008,97.0
13,2009,22.0
13,2010,144.0
13,2011,118.0
13,2012,122.0
13,2013,112.0
13,2014,134.0
13,2015,121.0
13,2016,53.0
13,2017,43.0
14,1994,14.0
14,1995,49.0
14,1996,18.0
14,1997,36.0
14,1998,56.0
14,1999,48.0
14,2000,73.0
14,2001,65.0
14,2002,41.0
14,2003,51.0
14,2004,24.0
14,2005,24.0
14,2006,14.0
14,2007,14.0
14,2008,8.0
15,1997,3.0
15,1998,1.0
15,1999,7.0
15,2000,6.0
15,2001,12.0
15,2002,9.0
15,2003,33.0
15,2004,46.0
15,2005,43.0
15,2006,15.0
15,2007,8.0
15,2008,31.0
15,2009,32.5
15,2010,0.0
15,2011,0.0
16,2007,1.0
16,2008,0.0
16,2009,5.0
16,2010,47.0
16,2011,42.0
16,2013,29.0
16,2014,0.0
17,2002,2.0
17,2003,17.0
17,2004,7.0
17,2005,36.0
17,2006,7.0
17,2007,10.0
17,2008,21.0
17,2009,69.5
17,2010,242.0
17,2011,258.0
17,2012,179.0
17,2013,199.0
18,2000,12.0
18,2001,2.0
18,2002,14.0
18,2003,17.0
18,2004,85.0
18,2005,37.0
18,2006,56.0
18,2007,6.0
18,2008,3.0
18,2009,95.0
18,2010,214.0
18,2011,270.0
18,2012,188.0
18,2013,73.0
18,2014,126.0
18,2015,16.0
18,2016,21.0
18,2017,0.0
19,2002,0.0
19,2005,0.0
19,2007,0.0
19,2008,0.0
20,2007,6.0
20,2008,35.0
20,2009,84.0
20,2010,256.0
20,2011,392.0
20,2012,281.0
20,2013,397.0
20,2014,167.0
20,2015,278.0
20,2016,212.0
20,2017,317.0
20,2018,320.0
20,2019,240.0
20,2020,33.0
20,2021,43.0
20,2022,37.0
21,1996,0.0
21,1997,20.0
21,1998,16.0
21,1999,13.0
21,2000,18.0
21,2001,8.0
21,2002,7.0
21,2003,12.0
21,2004,22.0
21,2005,58.0
21,2006,72.0
21,2007,21.0
21,2008,0.0
21,2009,8.0
22,1993,2.0
22,1994,19.0
22,1995,11.0
22,1996,14.0
22,1997,6.0
22,1998,4.0
22,1999,21.0
22,2000,62.0
22,2001,56.0
22,2002,77.0
22,2003,65.0
22,2004,114.0
22,2005,38.0
22,2006,30.0
22,2007,0.0
22,2008,11.0
22,2009,77.0
22,2010,47.0
22,2011,4.0
23,1997,13.0
23,1998,14.0
23,1999,35.0
23,2000,24.0
23,2001,49.0
23,2002,42.0
23,2003,58.0
23,2004,24.0
23,2005,45.0
23,2006,20.0
23,2007,5.0
24,2005,1.0
24,2006,1.0
24,2007,3.0
24,2009,0.0
24,2010,21.0
24,2011,0.0
25,1997,4.0
25,1998,17.0
25,1999,3.0
25,2000,2.0
25,2005,6.0
25,2007,13.0
26,2006,0.0
26,2007,0.0
27,2005,4.0
27,2006,0.0
27,2007,0.0
28,2007,0.0
29,2006,0.0
29,2007,0.0
29,2010,0.0
30,1991,4.0
30,1992,53.0
30,1993,52.0
30,1994,92.0
30,1995,102.0
30,1996,59.0
30,1997,78.0
30,1998,86.0
30,1999,44.0
30,2000,108.0
30,2001,123.0
30,2002,144.0
30,2003,93.0
30,2004,148.0
30,2005,62.0
30,2006,121.0
30,2010,72.0
30,2011,76.0
30,2012,49.0
31,2001,31.0
31,2002,50.0
31,2003,82.0
31,2004,58.0
31,2005,60.0
31,2006,26.0
32,2004,3.0
32,2005,9.0
32,2006,2.0
32,2010,0.0
33,2005,7.0
33,2006,0.0
34,2006,0.0
35,1996,78.0
35,1997,81.0
35,1998,21.0
35,1999,0.0
35,2000,17.0
35,2001,12.0
35,2002,4.0
35,2003,6.0
35,2004,0.0
35,2005,9.0
35,2006,7.0
36,2006,0.0
37,1999,1.0
37,2000,2.0
37,2001,3.0
37,2002,0.0
37,2005,4.0
37,2006,19.0
37,2010,6.0
37,2011,0.0
37,2012,0.0
38,2005,0.0
38,2006,0.0
39,2005,5.0
39,2011,0.0
39,2012,0.0
40,2005,3.0
41,1999,0.0
41,2000,3.0
41,2001,0.0
41,2004,0.0
41,2005,0.0
42,2003,0.0
42,2004,6.0
42,2005,2.0
43,2003,10.0
43,2004,3.0
44,1994,9.0
44,1995,16.0
44,1996,13.0
44,1997,16.0
44,1998,0.0
44,1999,2.0
44,2001,5.0
44,2002,3.0
44,2003,6.0
44,2004,6.0
45,2004,0.0
46,2004,0.0
47,2003,0.0
47,2004,1.0
48,1999,1.0
48,2000,0.0
48,2003,4.0
48,2004,0.0
49,1994,7.0
49,1995,15.0
49,1996,7.0
49,1997,42.0
49,1998,17.0
49,1999,54.0
49,2000,11.0
49,2001,6.0
49,2002,2.0
49,2003,13.0
50,1994,10.0
50,1995,0.0
50,1996,1.0
50,1997,0.0
50,1998,0.0
50,2000,5.0
50,2001,1.0
50,2003,0.0
51,2003,1.0
52,2003,1.0
53,2003,0.0
54,2000,0.0
54,2001,0.0
55,1989,8.0
55,1990,13.0
55,1991,21.0
55,1992,18.0
55,1993,16.0
55,1994,24.0
55,1995,42.0
55,1996,47.0
55,1997,36.0
55,1998,9.0
55,1999,2.0
55,2000,0.0
55,2001,5.0
56,1993,1.0
56,1994,6.0
56,1995,10.0
56,1996,11.0
56,1997,24.0
56,1998,47.0
56,1999,74.0
56,2000,4.0
56,2001,6.0
56,2002,8.0
57,1991,2.0
57,1992,11.0
57,1993,4.0
57,1994,26.0
57,1995,17.0
57,1996,31.0
57,1997,27.0
57,1998,100.0
57,1999,76.0
57,2000,89.0
57,2001,37.0
58,1996,0.0
58,1997,0.0
58,2001,0.0
59,2001,0.0
59,2002,0.0
60,2000,0.0
60,2001,0.0
61,2001,0.0
62,2001,0.0
62,2002,0.0
63,1994,0.0
63,1995,5.0
63,1996,5.0
63,1997,2.0
63,1998,3.0
63,1999,10.0
63,2000,6.0
63,2002,2.0
64,1995,0.0
64,1996,2.0
64,1997,2.0
64,1998,3.0
64,1999,3.0
64,2000,0.0
65,1989,5.0
65,1990,0.0
65,1991,0.0
65,1992,2.0
65,1993,11.0
65,1994,0.0
65,1995,45.0
65,1996,4.0
65,1997,15.0
65,1998,1.0
65,1999,15.0
65,2000,0.0
66,2002,0.0
67,2009,6.0
67,2010,8.0
67,2011,15.0
68,1998,0.0
68,1999,0.0
69,1993,0.0
69,1995,0.0
69,1996,0.0
69,1999,0.0
69,2009,0.0
70,1991,0.0
70,1992,0.0
70,1993,1.0
70,1994,0.0
70,1999,0.0
71,1992,0.0
71,1993,69.0
71,1994,91.0
71,1995,69.0
71,1996,97.0
71,1997,7.0
71,1998,20.0
71,1999,7.0
72,1999,0.0
73,1996,0.0
73,1997,0.0
73,1998,0.0
74,1998,0.0
75,1997,2.0
75,1998,0.0
76,1995,0.0
76,1997,0.0
76,1998,1.0
77,1984,0.0
77,1985,3.0
77,1986,17.0
77,1987,36.0
77,1988,41.0
77,1989,21.0
77,1990,43.0
77,1991,43.0
77,1992,49.0
77,1993,12.0
77,1994,41.0
77,1995,31.0
77,1996,21.0
77,1997,27.0
78,1987,0.0
78,1988,0.0
78,1989,0.0
78,1990,0.0
78,1991,0.0
78,1992,0.0
78,1994,6.0
78,1997,1.0
79,1992,0.0
79,1993,0.0
79,1994,5.0
79,1995,0.0
79,1996,0.0
79,1997,0.0
80,1997,0.0
81,1990,0.0
81,1991,0.5
81,1992,0.0
81,1994,3.0
81,1995,5.0
81,1997,0.0
82,1997,0.0
83,1993,0.0
83,1994,0.0
83,1995,1.0
83,1996,0.0
84,1984,0.0
84,1985,0.0
84,1986,8.0
84,1987,2.0
84,1988,0.0
84,1989,4.0
84,1991,2.0
84,1992,38.0
84,1993,13.0
84,1994,16.0
84,1995,7.0
84,1996,8.0
85,1994,0.0
85,1995,0.0
85,1996,0.0
86,1995,0.0
86,1996,0.0
87,1991,1.0
87,1993,10.0
87,1994,8.0
87,1995,13.0
88,1988,0.0
88,1989,0.0
88,1990,6.0
88,1991,1.0
88,1992,0.0
88,1993,0.0
88,1994,0.0
88,1995,1.0
89,1994,0.0
89,1995,0.0
90,1982,0.0
90,1987,1.0
90,1989,0.0
90,1990,6.0
90,1991,8.0
90,1992,0.0
90,1995,0.0
91,1991,0.0
91,1992,3.0
91,1993,7.0
91,1994,4.0
91,1995,0.0
92,1989,0.0
92,1990,0.0
92,1991,4.0
92,1992,1.0
92,1994,0.0
92,1995,0.0
93,1994,0.0
93,1995,0.0
94,1984,0.0
94,1985,0.0
94,1988,1.0
94,1989,5.0
94,1990,0.0
94,1991,6.0
94,1992,2.0
94,1993,0.0
94,1994,4.0
94,1995,0.0
95,1980,0.0
95,1981,8.0
95,1982,7.0
95,1983,10.0
95,1984,13.0
95,1985,31.0
95,1986,72.0
95,1987,61.0
95,1988,12.0
95,1989,38.0
95,1990,37.0
95,1991,72.0
95,1992,108.0
95,1994,13.0
95,1995,0.0
96,1995,3.0
97,1995,0.0
98,1994,0.0
98,1995,0.0
99,1987,0.0
99,1988,0.0
99,1989,1.0
99,1990,0.0
99,1991,0.0
99,1992,0.0
99,1995,0.0
100,1991,0.0
100,1992,4.0
100,1993,1.0
100,1994,2.0
101,1990,0.0
101,1994,0.0
102,1984,13.0
102,1985,38.0
102,1986,55.0
102,1987,57.0
102,1988,94.0
102,1989,60.0
102,1990,78.0
102,1991,96.0
102,1992,50.0
102,1993,73.0
102,1994,0.0
103,1989,0.0
103,1990,5.0
103,1991,1.0
103,1994,4.0
104,1992,1.0
104,1993,5.0
104,1994,6.0
105,1981,0.0
105,1982,25.0
105,1983,10.0
105,1984,30.5
105,1985,53.0
105,1986,14.0
105,1987,17.0
105,1988,24.0
105,1989,6.0
105,1990,0.0
105,1991,0.0
105,1992,6.0
105,1993,0.0
105,1994,1.0
106,1994,0.0
107,1994,0.0
108,1992,0.0
108,1994,0.0
109,1989,0.0
109,1990,0.0
109,1991,4.0
109,1992,0.0
109,1993,5.0
109,1994,1.0
110,1980,0.0
110,1981,1.0
110,1982,5.0
110,1983,15.0
110,1984,3.0
110,1985,3.0
110,1986,0.0
110,1987,4.0
110,1988,3.0
110,1989,4.0
110,1990,0.0
110,1991,9.0
110,1992,8.0
110,1993,0.0
110,1994,4.0
111,1993,0.0
111,1994,0.0
112,1984,0.0
112,1985,0.0
112,1986,1.0
112,1987,3.0
112,1988,0.0
112,1989,1.0
112,1990,0.0
112,1993,2.0
112,1994,0.0
113,1994,0.0
114,1987,0.0
114,1988,0.0
114,1989,0.0
114,1990,0.0
114,1994,0.0
115,1994,0.0
116,1994,0.0
117,1980,5.0
117,1981,43.0
117,1982,34.0
117,1983,57.0
117,1984,71.5
117,1985,76.0
117,1986,74.0
117,1987,46.0
117,1988,105.0
117,1989,81.0
117,1990,73.0
117,1991,34.0
117,1993,99.0
118,1981,0.0
118,1982,0.0
118,1983,9.0
118,1984,23.0
118,1985,5.0
118,1986,0.0
118,1987,3.0
118,1988,17.0
118,1989,7.0
118,1990,3.0
118,1993,4.0
119,1977,1.0
119,1978,11.0
119,1979,2.0
119,1980,7.0
119,1981,10.0
119,1982,21.0
119,1983,13.0
119,1984,8.0
119,1985,0.0
119,1986,2.0
119,1987,6.0
119,1988,8.0
119,1989,40.0
119,1990,23.0
119,1991,53.0
119,1992,56.0
119,1993,20.0
120,1991,0.0
120,1993,2.0
121,1993,7.0
122,1985,3.0
122,1986,0.0
122,1987,1.0
122,1988,17.0
122,1989,0.0
122,1990,6.0
122,1991,1.0
122,1992,3.0
122,1993,0.0
123,1983,0.0
123,1984,5.0
123,1985,11.0
123,1986,0.0
123,1987,16.0
123,1988,27.0
123,1989,37.0
123,1990,34.0
123,1991,0.0
123,1992,2.0
123,1993,0.0
124,1993,0.0
125,1992,0.0
125,1993,0.0
126,1993,0.0
127,1988,5.0
127,1989,4.0
127,1990,1.0
127,1991,0.0
127,1992,0.0
128,1991,0.0
128,1992,0.0
129,1989,1.0
129,1990,0.0
129,1991,0.0
129,1992,0.0
130,1992,0.0
131,1987,0.0
131,1988,0.0
131,1989,4.0
131,1990,2.0
131,1991,10.0
131,1992,1.0
132,1992,0.0
133,1986,0.0
133,1987,0.0
133,1988,0.0
133,1989,4.0
133,1990,2.0
133,1991,0.0
134,1989,0.0
135,1992,0.0
136,1979,0.0
136,1980,0.0
136,1981,0.0
136,1982,0.0
136,1992,0.0
137,1978,0.0
137,1979,3.0
137,1980,54.0
137,1981,50.0
137,1982,20.0
137,1983,59.0
137,1984,29.0
137,1985,21.0
137,1986,69.0
137,1987,76.0
137,1988,22.0
137,1989,12.0
137,1990,44.0
137,1991,26.5
138,1987,7.0
138,1988,1.0
138,1989,3.0
138,1990,3.0
138,1991,2.0
139,1989,2.0
139,1990,0.0
139,1991,1.0
140,1980,0.0
140,1983,0.0
140,1984,3.0
140,1985,26.0
140,1986,23.0
140,1987,30.0
140,1988,0.0
140,1989,6.0
140,1990,0.0
140,1991,0.0
141,1988,0.0
141,1991,1.0
142,1991,0.0
143,1991,0.0
144,1991,0.0
145,1986,0.0
145,1987,0.0
145,1988,12.0
145,1989,32.0
145,1990,21.0
146,1988,0.0
146,1989,0.0
146,1990,0.0
