raceId,driverId,stop,lap,duration_s
841,153,1,1,0 days 00:00:26.898000
841,30,1,1,0 days 00:00:25.021000
841,17,1,11,0 days 00:00:23.426000
841,4,1,12,0 days 00:00:23.251000
841,13,1,13,0 days 00:00:23.842000
841,22,1,13,0 days 00:00:23.643000
841,20,1,14,0 days 00:00:22.603000
841,814,1,14,0 days 00:00:24.863000
841,816,1,14,0 days 00:00:25.259000
841,67,1,15,0 days 00:00:25.342000
841,2,1,15,0 days 00:00:22.994000
841,1,1,16,0 days 00:00:23.227000
841,808,1,16,0 days 00:00:24.535000
841,3,1,16,0 days 00:00:23.716000
841,155,1,16,0 days 00:00:24.064000
841,16,1,16,0 days 00:00:25.978000
841,15,1,16,0 days 00:00:24.899000
841,18,1,17,0 days 00:00:16.867000
841,153,2,17,0 days 00:00:24.463000
841,5,1,17,0 days 00:00:24.865000
841,30,2,17,0 days 00:00:23.988000
841,10,1,18,0 days 00:00:23.792000
841,18,2,19,0 days 00:00:23.303000
841,815,1,23,0 days 00:00:23.438000
841,22,2,23,0 days 00:00:37.856000
841,17,2,26,0 days 00:00:22.520000
841,4,2,27,0 days 00:00:24.733000
841,22,3,28,0 days 00:00:16.892000
841,67,2,29,0 days 00:00:23.100000
841,2,2,30,0 days 00:00:25.098000
841,13,2,31,0 days 00:00:24.500000
841,155,2,32,0 days 00:00:24.192000
841,20,2,36,0 days 00:00:24.036000
841,1,2,36,0 days 00:00:23.199000
841,153,3,35,0 days 00:00:26.348000
841,808,2,36,0 days 00:00:25.683000
841,814,2,36,0 days 00:00:24.332000
841,18,3,37,0 days 00:00:22.681000
841,16,2,37,0 days 00:00:23.871000
841,15,2,37,0 days 00:00:24.848000
841,816,2,38,0 days 00:00:26.446000
841,17,3,41,0 days 00:00:26.230000
841,22,4,40,0 days 00:00:26.309000
841,4,3,42,0 days 00:00:24.181000
841,13,3,48,0 days 00:00:24.095000
842,16,1,3,0 days 00:00:31.694000
842,22,1,3,0 days 00:00:32.978000
842,17,1,10,0 days 00:00:22.572000
842,814,1,11,0 days 00:00:22.773000
842,1,1,12,0 days 00:00:22.552000
842,20,1,13,0 days 00:00:23.019000
